Company,Sales ($billion),Profits ($billion),Total Cost($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude
Rostelecom,10.4,1.1,9.3,17.7,11.3,Russia,Europe,61.52401,105.318756
Evergrande Real Estate,10.3,1.5,8.8,31.1,6.9,China,Asia,35.86166,104.195397
Japan Airlines,14.6,2.3,12.3,13.2,8.7,Japan,Asia,36.204824,138.252924
Jiangxi Copper,25,0.8,24.2,12.5,10.8,China,Asia,35.86166,104.195397
PKN Orlen,38.8,0.8,38,16.9,7.4,Poland,Europe,51.919438,19.145136
Grupo Aval,6.1,0.7,5.4,57.4,13.2,Colombia,South America,4.570868,-74.297333
China Shipbuilding Industry,9.2,0.7,8.5,25.3,12.1,China,Asia,35.86166,104.195397
Commerzbank,25.5,0,25.5,838.3,9.2,Germany,Europe,51.165691,10.451526
ThyssenKrupp Group,51.6,-6,57.6,47.4,12.4,Germany,Europe,51.165691,10.451526
JBS,38.9,0.4,38.5,24.3,10.4,Brazil,South America,-14.235004,-51.92528
China Resources Power,8.1,1,7.1,22.9,12.4,Hong Kong,Asia,22.396428,114.109497
Inter Rao,18.3,1.2,17.1,16.6,7.2,Russia,Europe,61.52401,105.318756
Barrick Gold,14.5,-0.7,15.2,47.3,28.7,Canada,North America,56.130366,-106.346771
MOL Hungarian Oil,24.6,0.7,23.9,21.6,7.5,Hungary,Europe,47.162494,19.503304
Wheelock & Co,4.3,3.5,0.8,49.4,10,Hong Kong,Asia,22.396428,114.109497
Daiwa House Industry,22.3,0.4,21.9,24,11.5,Japan,Asia,36.204824,138.252924
Dollar General,16,1,15,10.4,15.8,USA,North America,37.09024,-95.712891
Asahi Group Holdings,13.1,0.7,12.4,20,11.1,Japan,Asia,36.204824,138.252924
Spectra Energy,5.1,0.9,4.2,30.6,19.3,USA,North America,37.09024,-95.712891
JFE Holdings,38.3,-0.4,38.7,47.4,12.6,Japan,Asia,36.204824,138.252924
Gree Electric Appliances,13.3,0.8,12.5,13.5,13.5,China,Asia,35.86166,104.195397
Ooredoo Telecom,9.3,0.8,8.5,25.9,10,Qatar,Asia,25.354826,51.183884
Kao Corp,15.4,0.7,14.7,12,17.4,Japan,Asia,36.204824,138.252924
CSN,8.9,2,6.9,24.2,7.2,Brazil,South America,-14.235004,-51.92528
Asahi Kasei,19,0.7,18.3,16.9,9.2,Japan,Asia,36.204824,138.252924
Yanzhou Coal Mining,9.2,1,8.2,18,11.8,China,Asia,35.86166,104.195397
Henderson Land,2,2.6,-0.6,33.9,15.1,Hong Kong,Asia,22.396428,114.109497
Nucor,19.4,0.5,18.9,14.2,14.8,USA,North America,37.09024,-95.712891
Axis Bank,5.3,0.8,4.5,55.8,11.6,India,Asia,20.593684,78.96288
Delphi Automotive,15.5,1.1,14.4,10.2,13.6,UK,Europe,55.378051,-3.435973
Stanley Black & Decker,10.2,0.9,9.3,15.8,13,USA,North America,37.09024,-95.712891
PGE,9.4,1,8.4,18.8,10.5,Poland,Europe,51.919438,19.145136
NKSJ Holdings,30.9,-1.1,32,105.2,9.4,Japan,Asia,36.204824,138.252924
Fuji Heavy Industries,18.3,0.5,17.8,16.4,12.9,Japan,Asia,36.204824,138.252924
Deutsche Boerse,2.8,0.8,2,285.5,12.5,Germany,Europe,51.165691,10.451526
Telekom Indonesia,8,1.3,6.7,11.5,21.4,Indonesia,Asia,-0.789275,113.921327
Idemitsu Kosan,52.1,0.8,51.3,32.4,3.5,Japan,Asia,36.204824,138.252924
Liberty Global,10.3,0.3,10,38.3,17.8,USA,North America,37.09024,-95.712891
Sekisui House,20,0.6,19.4,16.9,9.4,Japan,Asia,36.204824,138.252924
Nokia,39.8,-4.1,43.9,37.8,12.5,Finland,Europe,61.92411,25.748151
Metro Group,88,0,88,45.8,9.3,Germany,Europe,51.165691,10.451526
National Bank of Abu Dhabi,3.1,1.1,2,81.8,12.4,United Arab Emirates,Asia,23.424076,53.847818
Lenovo Group,29.6,0.5,29.1,15.5,10.4,China,Asia,35.86166,104.195397
National Bank of Kuwait,2.5,1.1,1.4,58.4,14.6,Kuwait,Asia,29.31166,47.481766
San Miguel,16.6,0.7,15.9,25.1,7,Philippines,Asia,12.879721,121.774017
Samsung C&T,23.8,0.4,23.4,24.2,8.5,South Korea,Asia,35.907757,127.766922
MegaFon,8.8,1.2,7.6,11.5,17.6,Russia,Europe,61.52401,105.318756
Bombardier,16.8,0.6,16.2,25.8,7.3,Canada,North America,56.130366,-106.346771
Becton Dickinson,7.8,1.5,6.3,11.6,17.9,USA,North America,37.09024,-95.712891
Celgene,5.5,1.5,4,11.7,47.1,USA,North America,37.09024,-95.712891
British Sky Broadcasting,10.7,1.4,9.3,8.6,21.6,UK,Europe,55.378051,-3.435973
KPN,16.4,0.9,15.5,27.2,5.5,The Netherlands,Europe,52.132633,5.291266
DTE Energy,8.8,0.6,8.2,26.3,11.4,USA,North America,37.09024,-95.712891
Fortescue Metals Group,7,1.6,5.4,14.9,13.2,Australia,Oceania,-25.274398,133.775136
ConAgra Foods,13.8,0.7,13.1,12.5,14.4,USA,North America,37.09024,-95.712891
Gap,15.7,1.1,14.6,7.5,17.5,USA,North America,37.09024,-95.712891
RusHydro,11.3,1,10.3,25.3,6.9,Russia,Europe,61.52401,105.318756
VF,10.9,1.1,9.8,9.6,18.2,USA,North America,37.09024,-95.712891
CME Group,2.9,0.9,2,38.9,21.1,USA,North America,37.09024,-95.712891
XL Group,7.2,0.7,6.5,45.4,9,Ireland,Europe,53.41291,-8.24389
CSR,14.1,0.6,13.5,16.8,9.9,China,Asia,35.86166,104.195397
VakifBank,6.3,0.8,5.5,60.6,7.9,Turkey,Europe,38.963745,35.243322
ALFA,15.6,0.7,14.9,11.8,12.7,Mexico,North America,23.634501,-102.552784
Noble Group,94,0.5,93.5,19.7,6.2,Hong Kong,Asia,22.396428,114.109497
Fast Retailing,11.8,0.9,10.9,7.5,32.6,Japan,Asia,36.204824,138.252924
Novolipetsk Steel,12.2,0.6,11.6,18.5,10.7,Russia,Europe,61.52401,105.318756
Li & Fung,20.2,0.6,19.6,12,11.5,Hong Kong,Asia,22.396428,114.109497
Punjab National Bank,8.2,1,7.2,92.3,5,India,Asia,20.593684,78.96288
Symantec,6.8,1.1,5.7,14,16.9,USA,North America,37.09024,-95.712891
Motorola Solutions,8.7,0.9,7.8,12.7,17.1,USA,North America,37.09024,-95.712891
Northern Trust,4.2,0.7,3.5,97.5,13,USA,North America,37.09024,-95.712891
KeyCorp,4.7,0.9,3.8,89.2,9.3,USA,North America,37.09024,-95.712891
Chubu Electric Power,29.6,-1.1,30.7,65.8,9,Japan,Asia,36.204824,138.252924
New World Development,4.6,1.3,3.3,36.8,10.7,Hong Kong,Asia,22.396428,114.109497
Genting,5.6,1.4,4.2,21.5,11.6,Malaysia,Asia,4.210484,101.975766
Severstal,14.1,0.8,13.3,15.7,8.7,Russia,Europe,61.52401,105.318756
Bank of Baroda,6.8,1,5.8,89.8,5.5,India,Asia,20.593684,78.96288
Anhui Conch Cement,7.2,1,6.2,14,15.9,China,Asia,35.86166,104.195397
Luxottica Group,9.3,0.7,8.6,10.9,23.7,Italy,Europe,41.87194,12.56738
LG Electronics,45.3,0.1,45.2,29.6,11.6,South Korea,Asia,35.907757,127.766922
RSA Insurance Group,14.4,0.6,13.8,33.4,6.3,UK,Europe,55.378051,-3.435973
Technip,10.8,0.7,10.1,14.9,11.8,France,Europe,46.227638,2.213749
BRF-Brasil Foods,13.9,0.4,13.5,24.3,10.4,Brazil,South America,-14.235004,-51.92528
Krung Thai Bank,4.1,0.8,3.3,73.7,12.4,Thailand,Asia,15.870032,100.992541
United Continental Holdings,37.2,-0.7,37.9,37.6,10.3,USA,North America,37.09024,-95.712891
Industries Qatar,5.1,2.3,2.8,11,26.5,Qatar,Asia,25.354826,51.183884
Osaka Gas,15.6,0.5,15.1,17.9,8.7,Japan,Asia,36.204824,138.252924
Asahi Glass,14.9,0.5,14.4,21.9,7.8,Japan,Asia,36.204824,138.252924
China Yangtze Power,3.3,1.2,2.1,25.2,19.4,China,Asia,35.86166,104.195397
West Japan Railway,15.6,0.4,15.2,30.6,9.2,Japan,Asia,36.204824,138.252924
SCOR,13.4,0.6,12.8,43,5.8,France,Europe,46.227638,2.213749
ASML Holding,6.2,1.5,4.7,9.7,28.9,The Netherlands,Europe,52.132633,5.291266
Newcrest Mining,4.5,1.1,3.4,20.8,17.5,Australia,Oceania,-25.274398,133.775136
Daikin Industries,14.7,0.5,14.2,14,12.5,Japan,Asia,36.204824,138.252924
Tyson Foods,33.4,0.6,32.8,11.9,8.7,USA,North America,37.09024,-95.712891
Samba Financial Group,2,1.2,0.8,53.1,10.8,Saudi Arabia,Asia,23.885942,45.079162
Biogen Idec,5.5,1.4,4.1,10.1,41.8,USA,North America,37.09024,-95.712891
Tokyu,13.2,0.4,12.8,23.8,9.3,Japan,Asia,36.204824,138.252924
Grupo ACS,50.7,-2.5,53.2,51.5,7.7,Spain,Europe,40.463667,-3.74922
NRG Energy,8.4,0.6,7.8,35.1,8.4,USA,North America,37.09024,-95.712891
Reynolds American,4.4,1.3,3.1,16.6,23.8,USA,North America,37.09024,-95.712891
Pearson,8.2,0.5,7.7,18.1,14.9,UK,Europe,55.378051,-3.435973
Couche Tard,33,0.5,32.5,10.5,10.2,Canada,North America,56.130366,-106.346771
Bunge,61,0.1,60.9,24.1,11.1,Bermuda,North America,32.321384,-64.75737
Seadrill,4.5,1.1,3.4,19.6,17.6,Bermuda,North America,32.321384,-64.75737
Atlantia,4.4,1,3.4,40.1,10.6,Italy,Europe,41.87194,12.56738
Antofagasta,6.7,1,5.7,12.9,16.1,UK,Europe,55.378051,-3.435973
Kansai Electric Power,34,-2.9,36.9,86.7,7,Japan,Asia,36.204824,138.252924
Magnit,14.4,0.8,13.6,5.5,18.8,Russia,Europe,61.52401,105.318756
Marks & Spencer,15.9,0.8,15.1,11.6,9.1,UK,Europe,55.378051,-3.435973
S-Oil,30.8,0.5,30.3,11.7,9.4,South Korea,Asia,35.907757,127.766922
Northeast Utilities,6.3,0.5,5.8,28.3,13.4,USA,North America,37.09024,-95.712891
Formosa Petrochemical,30.2,0.1,30.1,15.4,26.5,Taiwan,Asia,23.69781,120.960515
First Gulf Bank,2.6,1.1,1.5,47.7,11.1,United Arab Emirates,Asia,23.424076,53.847818
Grupa PZU,6.3,1,5.3,18.1,11.3,Poland,Europe,51.919438,19.145136
Tesoro,33,0.7,32.3,10.7,7.8,USA,North America,37.09024,-95.712891
Devon Energy,9.5,-0.2,9.7,43.3,23.6,USA,North America,37.09024,-95.712891
Grupo Modelo,7.2,1,6.2,9.6,29,Mexico,North America,23.634501,-102.552784
Bharat Heavy Electicals,9.4,1.4,8,12.9,9,India,Asia,20.593684,78.96288
Southwest Airlines,17.1,0.4,16.7,18.6,9,USA,North America,37.09024,-95.712891
Edison International,11.9,-0.1,12,44.4,16.6,USA,North America,37.09024,-95.712891
Hyundai Steel,13.3,0.7,12.6,21.4,6.3,South Korea,Asia,35.907757,127.766922
Sinohydro Group,18,0.6,17.4,25.8,5.5,China,Asia,35.86166,104.195397
Fairfax Financial,8,0.5,7.5,36.9,8.2,Canada,North America,56.130366,-106.346771
Safeway,44.2,0.6,43.6,14.7,6,USA,North America,37.09024,-95.712891
Estée Lauder Cos,10,0.9,9.1,7.2,24.5,USA,North America,37.09024,-95.712891
Cemex,15.3,-0.9,16.2,35.9,13.6,Mexico,North America,23.634501,-102.552784
Zoomlion Heavy Industry,7.6,1.2,6.4,13.8,10.5,China,Asia,35.86166,104.195397
Republic Services,8.1,0.6,7.5,19.6,11.5,USA,North America,37.09024,-95.712891
LG Corp,8.7,0.8,7.9,15.1,10.2,South Korea,Asia,35.907757,127.766922
Chesapeake Energy,12.3,-0.8,13.1,41.6,15,USA,North America,37.09024,-95.712891
Country Garden Holdings,6.6,1.1,5.5,21.9,8.2,China,Asia,35.86166,104.195397
Akzo Nobel,20.3,-2.9,23.2,22.6,16.2,The Netherlands,Europe,52.132633,5.291266
KGHM Polska Miedz,8.7,1.6,7.1,10.7,10.7,Poland,Europe,51.919438,19.145136
Pgnig Group,8.8,0.7,8.1,15.5,11,Poland,Europe,51.919438,19.145136
Broadcom,8,0.7,7.3,11.2,19.7,USA,North America,37.09024,-95.712891
Infosys,6.6,1.6,5,7.5,30.5,India,Asia,20.593684,78.96288
Citic Pacific,12,0.9,11.1,31.9,4.7,Hong Kong,Asia,22.396428,114.109497
Sistema,30,0.2,29.8,43.7,8.1,Russia,Europe,61.52401,105.318756
Noble Energy,4.2,1,3.2,17.6,20.8,USA,North America,37.09024,-95.712891
Mobily,6.3,1.6,4.7,10.3,16.3,Saudi Arabia,Asia,23.885942,45.079162
Cameron International,8.5,0.8,7.7,11.2,16.5,USA,North America,37.09024,-95.712891
Alcoa,23.7,0.2,23.5,40.2,9.2,USA,North America,37.09024,-95.712891
Samsung Heavy Industries,12.9,0.7,12.2,15.6,7.5,South Korea,Asia,35.907757,127.766922
Credicorp,3.6,0.8,2.8,41,12.7,Peru,South America,-9.189967,-75.015152
IDGC Holding,19.7,0.7,19,27.3,2.6,Russia,Europe,61.52401,105.318756
Citic Securities,2.2,0.7,1.5,27,23.1,China,Asia,35.86166,104.195397
GD Power Development,8,0.6,7.4,29.2,8,China,Asia,35.86166,104.195397
China Resources Enterprise,16.3,0.5,15.8,16.4,7.6,Hong Kong,Asia,22.396428,114.109497
Bank of East Asia,3.7,0.8,2.9,89.3,9,Hong Kong,Asia,22.396428,114.109497
Turk Telekom,7.1,1.5,5.6,9.5,15,Turkey,Europe,38.963745,35.243322
L-3 Communications,13.1,0.8,12.3,13.8,7.3,USA,North America,37.09024,-95.712891
Agilent Technologies,6.9,1.1,5.8,10.7,14.9,USA,North America,37.09024,-95.712891
Allergan,5.8,1.1,4.7,9.2,32.7,USA,North America,37.09024,-95.712891
AES,18.1,-0.9,19,41.8,9.3,USA,North America,37.09024,-95.712891
Axiata Group,5.8,0.8,5,14,17.2,Malaysia,Asia,4.210484,101.975766
Allied Irish Banks,4.6,-4.8,9.4,161.5,50,Ireland,Europe,53.41291,-8.24389
TRW Automotive Holdings,16.4,1,15.4,10.9,7.1,USA,North America,37.09024,-95.712891
DaVita,8.2,0.5,7.7,16,12.5,USA,North America,37.09024,-95.712891
HCP,1.9,0.8,1.1,19.9,22.1,USA,North America,37.09024,-95.712891
Wipro,7.3,1.1,6.2,8.5,20.1,India,Asia,20.593684,78.96288
Riyad Bank,2.1,0.9,1.2,50.7,9.1,Saudi Arabia,Asia,23.885942,45.079162
All Nippon Airways,17.1,0.3,16.8,23.5,7.8,Japan,Asia,36.204824,138.252924
Mahindra & Mahindra,10.9,0.6,10.3,12.5,10.5,India,Asia,20.593684,78.96288
Grupo Inbursa,3.6,0.7,2.9,26.2,18.5,Mexico,North America,23.634501,-102.552784
Oi,12.3,0.4,11.9,14.7,19.2,Brazil,South America,-14.235004,-51.92528
Cognizant Technology,7.3,1.1,6.2,6.5,23.6,USA,North America,37.09024,-95.712891
Federal Grid of UES,4.3,1.5,2.8,36.2,7.2,Russia,Europe,61.52401,105.318756
Sumitomo Metal Mining,10.2,0.8,9.4,13.9,8,Japan,Asia,36.204824,138.252924
CF Industries Holdings,6.1,1.8,4.3,10.2,12.8,USA,North America,37.09024,-95.712891
LG Display,26.1,0.2,25.9,23,10.4,South Korea,Asia,35.907757,127.766922
Bed Bath & Beyond,10.2,1,9.2,6.4,13.8,USA,North America,37.09024,-95.712891
Unipol Gruppo,17.8,0.3,17.5,109.7,1.8,Italy,Europe,41.87194,12.56738
Mega Financial Holding,2,0.6,1.4,86.4,9.7,Taiwan,Asia,23.69781,120.960515
Hanwha Life Insurance,9.4,0.5,8.9,61,5.3,South Korea,Asia,35.907757,127.766922
Whirlpool,18.1,0.4,17.7,15.4,9.1,USA,North America,37.09024,-95.712891
Metallurgical Corp of China,34.1,-1.1,35.2,56.2,5.9,China,Asia,35.86166,104.195397
Ajinomoto,14.5,0.5,14,13.2,8.7,Japan,Asia,36.204824,138.252924
Skanska,19.9,0.4,19.5,13.4,8,Sweden,Europe,60.128161,18.643501
Dover,8.1,0.8,7.3,10.4,12.9,USA,North America,37.09024,-95.712891
Stora Enso,14.3,0.6,13.7,17.9,5.7,Finland,Europe,61.92411,25.748151
Resolution,17.6,-0.1,17.7,207.5,5.7,UK,Europe,55.378051,-3.435973
CPFL Energia,7.7,0.6,7.1,15.2,10.4,Brazil,South America,-14.235004,-51.92528
Priceline.com,5.3,1.4,3.9,6.6,35.6,USA,North America,37.09024,-95.712891
Tokyo Electric Power,64.6,-9.4,74,188.8,3.6,Japan,Asia,36.204824,138.252924
Eisai,7.8,0.7,7.1,11.7,13,Japan,Asia,36.204824,138.252924
ITC,5.2,1.2,4,5.9,44.1,India,Asia,20.593684,78.96288
Turkcell,5.9,1.2,4.7,10.5,14.8,Turkey,Europe,38.963745,35.243322
Textron,12.2,0.6,11.6,13,8.4,USA,North America,37.09024,-95.712891
Bank Hapoalim,5.1,0.7,4.4,100.8,5.9,Israel,Asia,31.046051,34.851612
DSM,12,0.4,11.6,15.3,11.4,The Netherlands,Europe,52.132633,5.291266
Equity Residential,2.1,0.8,1.3,17.2,20.2,USA,North America,37.09024,-95.712891
Shanghai Electric Group,12.1,0.4,11.7,18.3,8,China,Asia,35.86166,104.195397
Kone,8.3,0.8,7.5,6.5,20.5,Finland,Europe,61.92411,25.748151
Essilor International,6.6,0.8,5.8,9,24.1,France,Europe,46.227638,2.213749
Sany Heavy Industry,8.1,1.4,6.7,8.1,13,China,Asia,35.86166,104.195397
Mazda Motor,24.6,-1.3,25.9,23.2,9.5,Japan,Asia,36.204824,138.252924
Aluminium Corp of China,23.7,-1.3,25,28.7,8.4,China,Asia,35.86166,104.195397
Saudi British Bank,1.6,0.9,0.7,41.8,8.9,Saudi Arabia,Asia,23.885942,45.079162
Canadian Pacific Railway,5.7,0.5,5.2,14.8,22.1,Canada,North America,56.130366,-106.346771
CapitaLand,2.7,0.8,1.9,30.9,11.6,Singapore,Asia,1.352083,103.819836
Korea Gas,31.1,0.3,30.8,34.3,4.7,South Korea,Asia,35.907757,127.766922
China Southern Airlines,15.7,0.4,15.3,18.3,8,China,Asia,35.86166,104.195397
SJM Holdings,10.3,0.9,9.4,4.8,13.1,Hong Kong,Asia,22.396428,114.109497
Reinsurance Group of America,9.8,0.6,9.2,40.4,4.5,USA,North America,37.09024,-95.712891
Nikon,11.1,0.7,10.4,10.3,9.4,Japan,Asia,36.204824,138.252924
China CNR,14.2,0.5,13.7,15.4,7.2,China,Asia,35.86166,104.195397
CenterPoint Energy,7.5,0.4,7.1,22.9,10,USA,North America,37.09024,-95.712891
Intact Financial,7.2,0.6,6.6,19.9,8.4,Canada,North America,56.130366,-106.346771
Hankyu Hanshin Holdings,7.8,0.5,7.3,27.6,7.5,Japan,Asia,36.204824,138.252924
Asustek Computer,15.2,0.8,14.4,8.7,8.8,Taiwan,Asia,23.69781,120.960515
China Eastern Airlines,13.5,0.5,13,19.4,5.7,China,Asia,35.86166,104.195397
Discovery Communications,4.5,0.9,3.6,12.9,19,USA,North America,37.09024,-95.712891
NEC,36.7,-1.3,38,23.2,9.5,Japan,Asia,36.204824,138.252924
Power Assets Holdings,1.3,1.3,0,13.1,19.5,Hong Kong,Asia,22.396428,114.109497
AutoZone,8.7,1,7.7,6.7,14.1,USA,North America,37.09024,-95.712891
Dentsu,22.9,0.4,22.5,14.3,8,Japan,Asia,36.204824,138.252924
Fluor,27.6,0.5,27.1,8.3,10.5,USA,North America,37.09024,-95.712891
Amcor,12.5,0.4,12.1,11.5,11.9,Australia,Oceania,-25.274398,133.775136
Peugeot,73.1,-6.6,79.7,84.7,3,France,Europe,46.227638,2.213749
Banco Popular Español,9.1,-3.2,12.3,203.2,7.8,Spain,Europe,40.463667,-3.74922
Hong Kong & China Gas,3.2,1,2.2,12.8,25,Hong Kong,Asia,22.396428,114.109497
VMware,4.6,0.7,3.9,10.6,35.9,USA,North America,37.09024,-95.712891
Zijin Mining Group,7.6,0.8,6.8,10.8,10.8,China,Asia,35.86166,104.195397
SKF Group,9.9,0.7,9.2,9.1,11.7,Sweden,Europe,60.128161,18.643501
Isetan Mitsukoshi Holdings,15,0.7,14.3,14.9,5.3,Japan,Asia,36.204824,138.252924
Dexia,26.6,-16.2,42.8,534.9,0.1,Belgium,Europe,50.503887,4.469936
Bank of Yokohama,3.6,0.6,3,155.1,7.1,Japan,Asia,36.204824,138.252924
Uralkali,3.2,1.1,2.1,12.7,22.8,Russia,Europe,61.52401,105.318756
Ricoh,23,-0.5,23.5,27.2,7.9,Japan,Asia,36.204824,138.252924
Belgacom,8.5,0.9,7.6,10.7,8.9,Belgium,Europe,50.503887,4.469936
L Brands,10.5,0.8,9.7,6.4,13,USA,North America,37.09024,-95.712891
Genworth Financial,10,0.3,9.7,113.3,5.2,USA,North America,37.09024,-95.712891
Sherwin-Williams,9.5,0.6,8.9,6.2,17.4,USA,North America,37.09024,-95.712891
Galaxy Entertainment,7.3,1,6.3,5.7,16.7,Hong Kong,Asia,22.396428,114.109497
RTL Group,7.7,0.8,6.9,10.4,11.5,Luxembourg,Europe,49.815273,6.129583
Assa Abloy,7.2,0.8,6.4,9.2,14.9,Sweden,Europe,60.128161,18.643501
Capgemini,13.5,0.5,13,12.6,8.1,France,Europe,46.227638,2.213749
Hindalco Industries,15.8,0.7,15.1,19.9,3.4,India,Asia,20.593684,78.96288
Suning Appliance,14.9,0.8,14.1,9.4,7.4,China,Asia,35.86166,104.195397
Chinatrust Financial,2.4,0.6,1.8,66.7,8.2,Taiwan,Asia,23.69781,120.960515
Oneok,12.6,0.4,12.2,15.9,9.2,USA,North America,37.09024,-95.712891
IntercontinentalExchange,1.4,0.6,0.8,37.2,11.7,USA,North America,37.09024,-95.712891
London Stock Exchange,1.1,0.8,0.3,163.6,5.7,UK,Europe,55.378051,-3.435973
Genuine Parts,13,0.6,12.4,6.8,11.7,USA,North America,37.09024,-95.712891
Leucadia National,9.2,0.9,8.3,9.3,9.9,USA,North America,37.09024,-95.712891
Formosa Plastics,7.4,0.5,6.9,11.8,15.3,Taiwan,Asia,23.69781,120.960515
Uni-President,14.5,0.4,14.1,11.6,9.5,Taiwan,Asia,23.69781,120.960515
OTP Bank,6.6,0.5,6.1,45.8,5.6,Hungary,Europe,47.162494,19.503304
Nordstrom,12.1,0.7,11.4,8.1,10.6,USA,North America,37.09024,-95.712891
China Steel,12.1,0.2,11.9,21.3,13.7,Taiwan,Asia,23.69781,120.960515
Vornado Realty,2.8,0.6,2.2,22,15.6,USA,North America,37.09024,-95.712891
Ross Stores,9.7,0.8,8.9,3.7,12.5,USA,North America,37.09024,-95.712891
Sabesp,5.5,1,4.5,12.8,10.5,Brazil,South America,-14.235004,-51.92528
WW Grainger,9,0.7,8.3,5,15.6,USA,North America,37.09024,-95.712891
International Airlines,23.9,-1.2,25.1,25.6,7.6,UK,Europe,55.378051,-3.435973
Computer Sciences,15.5,0.5,15,11.3,7.5,USA,North America,37.09024,-95.712891
Charoen Pokphand Foods,11.7,0.6,11.1,10.1,9,Thailand,Asia,15.870032,100.992541
SM Investments,5.3,0.6,4.7,13.6,16.6,Philippines,Asia,12.879721,121.774017
Mylan,6.8,0.6,6.2,11.9,12.1,USA,North America,37.09024,-95.712891
Whole Foods Market,12.2,0.5,11.7,5.1,16.1,USA,North America,37.09024,-95.712891
Grupo Televisa,5.4,0.7,4.7,12.6,14.9,Mexico,North America,23.634501,-102.552784
American Tower,2.9,0.6,2.3,14.1,29.9,USA,North America,37.09024,-95.712891
Canara Bank,6.7,0.7,6,74.4,3.5,India,Asia,20.593684,78.96288
Bank Negara Indonesia,3.2,0.7,2.5,34.6,9,Indonesia,Asia,-0.789275,113.921327
Evraz Group,16.4,0.5,15.9,17,5.4,UK,Europe,55.378051,-3.435973
Investec,5.8,0.4,5.4,82.1,6.5,UK,Europe,55.378051,-3.435973
Industrias Peñoles,7.4,0.8,6.6,6.4,17.4,Mexico,North America,23.634501,-102.552784
Banque Saudi Fransi,1.6,0.8,0.8,42.1,7.4,Saudi Arabia,Asia,23.885942,45.079162
Campbell Soup,8.1,0.7,7.4,8.6,13.1,USA,North America,37.09024,-95.712891
Espirito Santo Financial,8.7,0.4,8.3,114.5,1.4,Luxembourg,Europe,49.815273,6.129583
Marriott International,11.8,0.6,11.2,6.3,12.6,USA,North America,37.09024,-95.712891
Beirsdorf,8,0.6,7.4,7.2,20.8,Germany,Europe,51.165691,10.451526
Secom,8.2,0.4,7.8,13.2,11.6,Japan,Asia,36.204824,138.252924
Daiwa Securities,5.1,-0.5,5.6,229.9,12,Japan,Asia,36.204824,138.252924
Kweichow Moutal,3.8,2.1,1.7,6.2,29.6,China,Asia,35.86166,104.195397
Eletrobrás,17.5,-3.5,21,84.1,5,Brazil,South America,-14.235004,-51.92528
AngloGold Ashanti,6.1,0.8,5.3,12.6,9.5,South Africa,Africa,-30.559482,22.937506
Formosa Chemicals,13.2,0.2,13,16,14.1,Taiwan,Asia,23.69781,120.960515
Antarchile,22.8,0.2,22.6,22.3,7.5,Chile,South America,-35.675147,-71.542969
Rexel,17.7,0.4,17.3,13.4,6.4,France,Europe,46.227638,2.213749
Jeronimo Martins,14,0.5,13.5,5.9,12.8,Portugal,Europe,39.399872,-8.224454
Petronas Chemicals,5.4,1.2,4.2,8.3,16.3,Malaysia,Asia,4.210484,101.975766
Inveco,4.2,0.7,3.5,17.5,12.8,Bermuda,North America,32.321384,-64.75737
Electrolux Group,16.9,0.4,16.5,11.2,8.1,Sweden,Europe,60.128161,18.643501
PartnerRe,5.6,1.1,4.5,23,5.4,Bermuda,North America,32.321384,-64.75737
Banco de Sabadell,8.5,0.1,8.4,213,6.6,Spain,Europe,40.463667,-3.74922
Best Buy,49.6,-0.2,49.8,16.8,7.2,USA,North America,37.09024,-95.712891
Everest Re Group,4.9,0.8,4.1,19.8,7.8,Bermuda,North America,32.321384,-64.75737
Onex,27.4,-0.1,27.5,36.3,5.3,Canada,North America,56.130366,-106.346771
Daiichi Sankyo,11.3,0.1,11.2,17.9,13.9,Japan,Asia,36.204824,138.252924
SK Hynix,9.6,-0.1,9.7,17.1,18,South Korea,Asia,35.907757,127.766922
Insurance Australia Group,9.2,0.2,9,25.4,12.4,Australia,Oceania,-25.274398,133.775136
Sinopharm Group,21.5,0.3,21.2,12.8,8,China,Asia,35.86166,104.195397
Chow Tai Fook Holdings,7.3,0.8,6.5,6.1,13.8,Hong Kong,Asia,22.396428,114.109497
Weyerhaeuser,7.1,0.4,6.7,12.6,16.6,USA,North America,37.09024,-95.712891
CSL,4.5,1,3.5,5.8,32,Australia,Oceania,-25.274398,133.775136
Banque Nationale de Belgique,2.4,1.2,1.2,165.8,1.4,Belgium,Europe,50.503887,4.469936
Great Wall Motor,6.6,0.9,5.7,6.8,14.3,China,Asia,35.86166,104.195397
Ryanair Holdings,5.8,0.7,5.1,12,10.7,Ireland,Europe,53.41291,-8.24389
Baidu,3.5,1.7,1.8,7.3,29.7,China,Asia,35.86166,104.195397
Hermès International,4.5,1,3.5,3.5,34.9,France,Europe,46.227638,2.213749
GAIL India,8.7,0.9,7.8,10,7.6,India,Asia,20.593684,78.96288
Shizuoka Bank,2.4,0.4,2,117.8,7.3,Japan,Asia,36.204824,138.252924
Advanced Info Service,4.6,1.1,3.5,3.1,23.2,Thailand,Asia,15.870032,100.992541
Longfor Properties,4.4,1,3.4,16.8,8.6,China,Asia,35.86166,104.195397
Steinhoff International,9.9,0.7,9.2,16.2,5,South Africa,Africa,-30.559482,22.937506
Dassault Aviation,5.1,0.7,4.4,13.7,11.9,France,Europe,46.227638,2.213749
